Sex,Age,Height,Weight,NOC,Category
1,23.0,176.0,58.0,102,endurance_stamina - running
1,23.0,172.0,61.0,212,sprint_classes - athletics
1,26.0,175.0,67.0,63,endurance_stamina - running
1,21.0,184.0,70.0,68,endurance_stamina - road_cycling
1,18.0,173.0,75.0,50,weightlifting - middle_classes
1,19.0,191.0,77.0,35,sprint_classes - swimming
1,35.0,180.0,68.0,212,endurance_stamina - running
1,22.0,172.0,64.0,114,sprint_classes - athletics
1,23.0,174.0,68.0,74,artistic_aesthetic_judged - gymnastics
1,25.0,177.0,84.0,168,wrestling - middle_classes_mixed
1,27.0,190.0,106.0,77,strength_power_throws
0,24.0,181.0,69.0,67,watercraft_racing - canoeing_kayaking
1,28.0,178.0,76.0,12,team_sports - football
1,21.0,190.0,70.0,168,Uncategorized
1,21.0,170.0,83.0,50,weightlifting - middle_classes
1,20.0,186.0,83.0,210,sprint_classes - athletics
1,32.0,180.0,84.0,178,winter_sliding_alpine - alpine_skiing
1,19.0,180.0,84.0,105,wrestling - middle_classes_mixed
0,21.0,165.0,51.0,187,artistic_aesthetic_judged - rhythmic_gymnastics
0,16.0,151.0,42.0,160,artistic_aesthetic_judged - gymnastics
1,32.0,181.0,88.0,42,judo - middle_classes_mixed
0,30.0,175.0,62.0,209,athletics_technical - jumps_and_vault
0,16.0,168.0,60.0,93,sprint_classes - swimming
1,21.0,179.0,76.5,66,team_sports - football
1,32.0,160.0,55.0,142,watercraft_racing - rowing
0,18.0,166.0,60.0,12,watercraft_racing - canoeing_kayaking
1,22.0,190.0,74.0,67,sprint_classes - athletics
1,25.0,197.0,86.0,107,team_sports - volleyball
0,26.0,165.0,60.0,211,sprint_classes - swimming
1,25.0,161.0,54.0,77,boxing - lighter_classes_speed
0,18.0,166.0,63.0,190,fencing
1,20.0,160.0,50.0,212,endurance_stamina - running
0,24.0,170.0,72.0,12,team_sports - hockey
1,19.0,172.0,60.0,196,sprint_classes - cycling
0,22.0,167.0,75.0,209,strength_power_throws
0,22.0,162.0,50.0,124,racket_net_sports - table_tennis
1,29.0,184.0,95.0,68,winter_sliding_alpine - bobsleigh
1,24.0,185.0,90.0,98,watercraft_racing - rowing
0,20.0,183.0,63.0,212,precision_marksmanship - archery
1,25.0,190.0,95.0,31,multi_discipline_combined
1,25.0,170.0,72.0,66,team_sports - ice_hockey
0,21.0,173.0,75.0,79,team_sports - baseball_softball
0,20.0,154.0,41.0,104,endurance_stamina - running
0,19.0,177.0,70.0,212,team_sports - basketball
1,23.0,183.0,78.0,35,sprint_classes - swimming
