Sex,Age,Height,Weight,NOC,Category
1,26.0,172.0,62.0,128,endurance_stamina - road_cycling
1,27.0,185.0,120.0,52,strength_power_throws
1,25.0,183.0,76.0,159,team_sports - hockey
1,21.0,170.0,54.0,31,boxing - lighter_classes_speed
0,17.0,173.0,60.0,19,sprint_classes - swimming
1,22.0,173.0,90.0,102,judo - middle_classes_mixed
1,24.0,180.0,85.0,142,team_sports - hockey
1,25.0,200.0,101.0,8,team_sports - basketball
1,20.0,191.0,87.0,98,fencing
1,22.0,191.0,81.0,212,sprint_classes - swimming
0,21.0,170.0,64.0,8,racket_net_sports - tennis
1,32.0,174.0,68.0,81,precision_marksmanship - shooting
0,26.0,155.0,57.0,45,team_sports - rugby_sevens
1,25.0,180.0,77.0,190,strength_power_throws
1,23.0,175.0,70.0,159,sprint_classes - athletics
1,29.0,185.0,125.0,93,strength_power_throws
0,21.0,165.0,91.0,35,precision_marksmanship - archery
0,27.0,174.0,60.0,35,artistic_aesthetic_judged - synchronized_swimming
1,21.0,191.0,90.0,194,watercraft_racing - rowing
1,19.0,180.0,88.0,79,sprint_classes - cycling
0,27.0,168.0,55.0,132,athletics_technical - hurdles_steeplechase
1,21.0,174.0,90.0,128,precision_marksmanship - archery
1,22.0,178.0,73.0,107,team_sports - football
1,23.0,175.0,66.0,149,watercraft_racing - sailing
0,22.0,169.0,62.0,77,athletics_technical - jumps_and_vault
1,24.0,174.0,73.0,72,team_sports - football
1,33.0,192.0,86.0,88,team_sports - handball
0,23.0,170.0,53.0,63,athletics_technical - hurdles_steeplechase
1,21.0,172.0,64.0,28,equestrian
1,23.0,168.0,63.0,12,artistic_aesthetic_judged - diving
1,17.0,175.0,70.0,61,Uncategorized
1,22.0,177.0,130.0,35,wrestling - heavy_classes_power
0,21.0,166.0,50.0,67,artistic_aesthetic_judged - synchronized_swimming
1,22.0,188.0,89.0,88,watercraft_racing - sailing
1,26.0,190.0,82.0,147,endurance_stamina - road_cycling
0,26.0,186.0,72.0,210,athletics_technical - jumps_and_vault
1,24.0,183.0,64.0,72,endurance_stamina - running
0,30.0,175.0,73.0,35,team_sports - baseball_softball
1,24.0,170.0,73.0,58,judo - middle_classes_mixed
0,22.0,174.0,65.0,123,athletics_technical - hurdles_steeplechase
0,21.0,174.0,57.0,209,sprint_classes - athletics
1,19.0,193.0,93.0,61,multi_discipline_combined
1,28.0,182.0,82.0,79,team_sports - handball
1,28.0,187.0,78.0,98,team_sports - water_polo
0,28.0,183.0,72.0,77,team_sports - handball
1,25.0,195.0,94.0,13,multi_discipline_combined
1,23.0,187.0,86.0,13,watercraft_racing - rowing
1,22.0,178.0,70.0,126,athletics_technical - jumps_and_vault
1,25.0,187.0,94.0,62,strength_power_throws
1,26.0,193.0,104.0,167,precision_marksmanship - shooting
1,32.0,189.0,90.0,52,racket_net_sports - tennis
1,21.0,190.0,92.0,98,winter_sliding_alpine - alpine_skiing
1,31.0,182.0,84.0,102,watercraft_racing - rowing
1,30.0,179.0,65.0,210,endurance_stamina - running
1,27.0,175.0,70.0,194,team_sports - ice_hockey
1,23.0,194.0,88.0,53,team_sports - football
0,16.0,145.0,35.0,213,artistic_aesthetic_judged - gymnastics
1,27.0,185.0,82.0,194,team_sports - football
0,26.0,178.0,57.0,12,equestrian
1,30.0,174.0,89.0,42,wrestling - middle_classes_mixed
1,20.0,170.0,57.0,45,boxing - lighter_classes_speed
0,22.0,172.0,63.0,19,watercraft_racing - canoeing_kayaking
1,22.0,174.0,74.0,98,winter_sliding_alpine - ski_jumping
1,25.0,171.0,68.0,53,team_sports - hockey
1,24.0,192.0,90.0,67,weightlifting - heavy_classes
1,23.0,180.0,78.0,194,watercraft_racing - canoeing_kayaking
1,21.0,168.0,66.0,88,judo - lighter_classes_speed
1,22.0,183.0,82.0,88,watercraft_racing - canoeing_kayaking
1,22.0,169.0,63.0,88,artistic_aesthetic_judged - gymnastics
0,24.0,173.0,75.0,79,team_sports - baseball_softball
0,19.0,173.0,68.0,212,winter_sliding_alpine - luge
1,30.0,191.0,78.0,98,fencing
0,24.0,158.0,55.0,202,athletics_technical - hurdles_steeplechase
1,23.0,190.0,87.0,61,watercraft_racing - rowing
0,25.0,174.0,65.0,77,team_sports - football
1,41.0,203.0,105.0,72,team_sports - volleyball
1,24.0,161.0,57.0,210,wrestling - lighter_classes_speed
1,23.0,202.0,165.0,126,strength_power_throws
1,20.0,165.0,61.0,168,multi_discipline_combined
0,20.0,170.0,48.0,168,endurance_stamina - running
0,27.0,168.0,60.0,67,team_sports - football
0,25.0,161.0,56.0,102,endurance_stamina - cross_country_skiing
0,23.0,170.0,65.0,112,team_sports - basketball
1,18.0,181.0,95.0,195,precision_marksmanship - archery
1,24.0,172.0,69.0,72,equestrian
1,25.0,189.0,102.0,52,team_sports - ice_hockey
0,29.0,155.0,64.0,104,team_sports - volleyball
0,25.0,188.0,80.0,212,watercraft_racing - rowing
0,27.0,165.0,53.0,25,artistic_aesthetic_judged - synchronized_swimming
1,22.0,188.0,91.0,12,watercraft_racing - rowing
0,23.0,182.0,72.0,147,sprint_classes - swimming
1,22.0,182.0,75.0,189,racket_net_sports - tennis
1,20.0,165.0,58.0,88,artistic_aesthetic_judged - gymnastics
1,26.0,181.0,85.0,147,team_sports - ice_hockey
0,24.0,168.0,64.0,66,judo - middle_classes_mixed
1,35.0,160.0,80.0,124,weightlifting - middle_classes
0,24.0,187.0,70.0,79,team_sports - handball
0,12.0,171.0,57.0,88,endurance_stamina - longer_middle_swimming
0,27.0,173.0,61.0,212,team_sports - water_polo
1,22.0,204.0,95.0,67,team_sports - basketball
0,27.0,183.0,78.0,145,team_sports - basketball
0,21.0,160.0,48.0,12,judo - lighter_classes_speed
1,25.0,175.0,63.0,53,team_sports - football
1,16.0,182.0,106.0,110,judo - heavy_classes_power
1,25.0,178.0,68.0,128,equestrian
1,23.0,180.0,64.0,123,endurance_stamina - running
1,20.0,173.0,64.0,223,boxing - lighter_classes_speed
1,22.0,193.0,118.0,79,wrestling - heavy_classes_power
1,23.0,175.0,77.0,8,team_sports - football
1,23.0,178.0,79.0,41,watercraft_racing - canoeing_kayaking
1,27.0,165.0,64.0,204,wrestling - lighter_classes_speed
1,21.0,186.0,72.0,120,endurance_stamina - road_cycling
0,23.0,173.0,61.0,77,Uncategorized
1,20.0,179.0,57.0,162,boxing - lighter_classes_speed
0,28.0,175.0,67.0,149,watercraft_racing - rowing
1,23.0,187.0,80.0,13,endurance_stamina - road_cycling
0,24.0,162.0,53.0,40,endurance_stamina - cross_country_skiing
1,22.0,169.0,64.0,52,boxing - lighter_classes_speed
0,25.0,158.0,51.0,102,endurance_stamina - triathlon
